census_id,name,address,city,county,cad_account,units,year_built,sponsor,private_partner_owner,species,statute,tier,traveling,in_target_set,appraised_value,exemption_status,first_exempt_year,kill_regime,kill_date,captured_9_1_2025,recent_capital_event,litigation,confidence,gaps_n,kill_basis
TX-NEW-BEXAR-1,Residences at Medical,"2502 Babcock Rd, San Antonio, TX 78240",San Antonio,Bexar,487392,276,1982,Cameron County Housing Finance Corporation,GVA,HFC,Ch.394,1,yes,True,23500000.0,,2026,HB21 §13(i),2027-01-01,True,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-1675,Willow Bend,"8330 Potranco Rd, San Antonio, TX 78251",San Antonio,Bexar,"1129457, 1039279",250,2005,Cameron County Housing Finance Corporation,Post Investment Group,HFC,Ch.394,1,yes,True,9200000.0,,2024,HB21 §13(i),2027-01-01,True,2023-03-29,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-1707,Dalian 151,"10018 Ingram Rd, San Antonio, TX 78245",San Antonio,Bexar,1248651,360,2018,Cameron County Housing Finance Corporation,Dalian Development,HFC,Ch.394,1,yes,True,54500000.0,,2025,HB21 §13(i),2027-01-01,True,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-614,Solara,"11710 Parliament St, San Antonio, TX 78213",San Antonio,Bexar,609239,285,1984,Cameron County Housing Finance Corporation,LoanCore Capital,HFC,Ch.394,1,yes,True,26000000.0,,2025,HB21 §13(i),2027-01-01,True,2024-12-24,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",cross-validated,0,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-NEW-BEXAR-2,Highland Ridge,"1700 Jackson Keller Rd, San Antonio, TX 78213",San Antonio,Bexar,489629,736,1985,Cameron County Housing Finance Corporation,Kairoi Residential,HFC,Ch.394,1,yes,True,42500000.0,,2026,HB21 §13(i),2027-01-01,True,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-NEW-BEXAR-3,Dalian Monterrey Village,"10102 Ingram Rd, San Antonio, TX 78245",San Antonio,Bexar,1207284,360,2014,Cameron County Housing Finance Corporation,Dalian Development,HFC,Ch.394,1,yes,True,51500000.0,,2025,HB21 §13(i),2027-01-01,True,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-1237,Maxwell Townhomes,"11146 Vance Jackson Rd, San Antonio, TX 78230",San Antonio,Bexar,641263,314,1982,Edcouch Community Housing Finance Corporation,,HFC,Ch.394,1,yes,True,40500000.0,,,HB21 §13(i),2027-01-01,True,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,2,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-1653,Tara,"Broadway St, San Antonio, TX 78209",San Antonio,Bexar,1446279,234,1965,Edcouch Community Housing Finance Corporation,,HFC,Ch.394,1,yes,True,9012040.0,,,HB21 §13(i),2027-01-01,True,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,2,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-1757,Acadia on the Lake,"4031 Thousand Oaks Dr, San Antonio, TX 78217",San Antonio,Bexar,642630,304,1982,Edcouch Community Housing Finance Corporation,,HFC,Ch.394,1,yes,True,,,,HB21 §13(i),2027-01-01,True,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,2,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-250,Elevate at Huebner Grove,"11500 Huebner Rd, San Antonio, TX 78230",San Antonio,Bexar,565843,210,1981,La Villa Housing Finance Corporation,,HFC,Ch.394,1,yes,True,17000000.0,,2026,HB21 §13(i),2027-01-01,True,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-NEW-BEXAR-4,5 Fifty,"550 Heimer Rd, San Antonio, TX 78232",San Antonio,Bexar,646352,204,1984,La Villa Housing Finance Corporation,,HFC,Ch.394,1,yes,True,18500000.0,,2026,HB21 §13(i),2027-01-01,True,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-2718,Sterling at Oak Hills,"7714 Louis Pasteur Dr, San Antonio, TX 78229",San Antonio,Bexar,1254484,330,2017,Maverick County Housing Finance Corporation,AHV Communities,HFC,Ch.394,1,yes,True,57000000.0,,2025,HB21 §13(i),2027-01-01,True,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-1394163,Alamo Residences at Spurs Lane,"1 Spurs Lane, San Antonio, TX 78240",San Antonio,Bexar,1395697,120,2022,Maverick County Housing Finance Corporation,Alamo Equity,HFC,Ch.394,1,yes,True,15889210.0,,2025,HB21 §13(i),2027-01-01,True,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-2092,Melia,"3434 Oakdale St, San Antonio, TX 78229",San Antonio,Bexar,"522684, 522690",300,1976,Pecos Housing Finance Corporation,GVA,HFC,Ch.394,1,yes,True,14057700.0,,2026,HB21 §13(i),2027-01-01,True,,"Haltom City v. Pecos HFC (injunction 6/3/2025); Arlington 15-25-00111-CV; Hays Co. suit (~$230M); Tarrant ARB 5-yr back-assessment ($974M/28 sites); TWHC HB21 constitutional challenge (Cameron Co., filed 9/9/2025); NOT independently confirmed as named in the Bexar Appraisal District 27-complex/$26M suit (Sandoval) -- that suit's press coverage names Maverick, Cameron, Pleasanton, La Villa, Edcouch only",single-source,1,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-1487,Seville,"13330 Blanco Rd, San Antonio, TX 78216",San Antonio,Bexar,639271,200,1982,Pecos Housing Finance Corporation,REEP Equity,HFC,Ch.394,1,yes,True,22000000.0,,2025,HB21 §13(i),2027-01-01,True,,"Haltom City v. Pecos HFC (injunction 6/3/2025); Arlington 15-25-00111-CV; Hays Co. suit (~$230M); Tarrant ARB 5-yr back-assessment ($974M/28 sites); TWHC HB21 constitutional challenge (Cameron Co., filed 9/9/2025); NOT independently confirmed as named in the Bexar Appraisal District 27-complex/$26M suit (Sandoval) -- that suit's press coverage names Maverick, Cameron, Pleasanton, La Villa, Edcouch only",single-source,1,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-557312,Timberhill Commons,"5072 Timberhill, Leon Valley, TX 78238",Leon Valley,Bexar,"1300448, 1444456",,2019,Pecos Housing Finance Corporation,Dreamstone Investments,HFC,Ch.394,1,yes,True,40500000.0,,2026,HB21 §13(i),2027-01-01,True,,"Haltom City v. Pecos HFC (injunction 6/3/2025); Arlington 15-25-00111-CV; Hays Co. suit (~$230M); Tarrant ARB 5-yr back-assessment ($974M/28 sites); TWHC HB21 constitutional challenge (Cameron Co., filed 9/9/2025); NOT independently confirmed as named in the Bexar Appraisal District 27-complex/$26M suit (Sandoval) -- that suit's press coverage names Maverick, Cameron, Pleasanton, La Villa, Edcouch only",cross-validated,1,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-1746,Vistas Two 52,"3787 Perrin Central Blvd, San Antonio, TX 78217",San Antonio,Bexar,595581,252,2002,Pecos Housing Finance Corporation,,HFC,Ch.394,1,yes,True,27000000.0,,2025,HB21 §13(i),2027-01-01,True,,"Haltom City v. Pecos HFC (injunction 6/3/2025); Arlington 15-25-00111-CV; Hays Co. suit (~$230M); Tarrant ARB 5-yr back-assessment ($974M/28 sites); TWHC HB21 constitutional challenge (Cameron Co., filed 9/9/2025); NOT independently confirmed as named in the Bexar Appraisal District 27-complex/$26M suit (Sandoval) -- that suit's press coverage names Maverick, Cameron, Pleasanton, La Villa, Edcouch only",single-source,1,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-384,Mission Villas,"247 W Dickson Ave, San Antonio, TX 78214",San Antonio,Bexar,1444640,176,1965,Pecos Housing Finance Corporation,DiversyFund,HFC,Ch.394,1,yes,True,932350.0,,,HB21 §13(i),2027-01-01,True,2025-01-13,"Haltom City v. Pecos HFC (injunction 6/3/2025); Arlington 15-25-00111-CV; Hays Co. suit (~$230M); Tarrant ARB 5-yr back-assessment ($974M/28 sites); TWHC HB21 constitutional challenge (Cameron Co., filed 9/9/2025); NOT independently confirmed as named in the Bexar Appraisal District 27-complex/$26M suit (Sandoval) -- that suit's press coverage names Maverick, Cameron, Pleasanton, La Villa, Edcouch only",single-source,2,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-1321,Brixton Apartments,"2555 NE Loop 410, San Antonio, TX 78217",San Antonio,Bexar,"500195, 1444659",384,1980,Pecos Housing Finance Corporation,,HFC,Ch.394,1,yes,True,23500000.0,,,HB21 §13(i),2027-01-01,True,2025-01-13,"Haltom City v. Pecos HFC (injunction 6/3/2025); Arlington 15-25-00111-CV; Hays Co. suit (~$230M); Tarrant ARB 5-yr back-assessment ($974M/28 sites); TWHC HB21 constitutional challenge (Cameron Co., filed 9/9/2025); NOT independently confirmed as named in the Bexar Appraisal District 27-complex/$26M suit (Sandoval) -- that suit's press coverage names Maverick, Cameron, Pleasanton, La Villa, Edcouch only",single-source,2,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-387177,Durrington Ridge,"21915 N US Hwy 281, San Antonio, TX 78258",San Antonio,Bexar,1352388,398,2021,Pleasanton Housing Finance Corporation,Abacus Capital Group,HFC,Ch.394,1,yes,True,69000000.0,,2025,HB21 §13(i),2027-01-01,True,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-1709,Nova Apartments,"14200 Vance Jackson Rd, San Antonio, TX 78249",San Antonio,Bexar,1117284,412,2008,Pleasanton Housing Finance Corporation,MetLife Investment Management,HFC,Ch.394,1,yes,True,53500000.0,,2025,HB21 §13(i),2027-01-01,True,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
TX-61-1175498,Med West,"7139 Wurzbach Rd, San Antonio, TX 78240",San Antonio,Bexar,1284640,131,2021,Pleasanton Housing Finance Corporation,,HFC,Ch.394,1,yes,True,19900000.0,,2025,HB21 §13(i),2027-01-01,True,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1,"HB21 §13(i): HFC-owned multifamily property outside the sponsor's home jurisdiction on 9/1/2025 loses its ad valorem exemption effective 1/1/2027, absent a qualifying host-jurisdiction resolution. §13(e) triggers an earlier loss of exemption on any sale, refinancing, or majority-ownership transfer of the property/SPE after enactment -- see kill_analysis.recent_capital_event for any such event on record in the seed."
