census_id,name,address,city,county,cad_account,units,sponsor,species,tier,traveling,current_status,appraised_value,tax_at_stake,tax_basis,kill_regime,kill_date,exemption_status,litigation,confidence,gaps_n
TX-NEW-BEXAR-1,Residences at Medical,"2502 Babcock Rd, San Antonio, TX 78240",San Antonio,Bexar,487392,276,Cameron County Housing Finance Corporation,HFC,1,yes,unknown,23500000.0,540500,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1
TX-61-1675,Willow Bend,"8330 Potranco Rd, San Antonio, TX 78251",San Antonio,Bexar,"1129457, 1039279",250,Cameron County Housing Finance Corporation,HFC,1,yes,unknown,9200000.0,211600,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1
TX-61-1707,Dalian 151,"10018 Ingram Rd, San Antonio, TX 78245",San Antonio,Bexar,1248651,360,Cameron County Housing Finance Corporation,HFC,1,yes,exempt_at_2027_risk,54500000.0,1248145,precise (per-account rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1
TX-61-614,Solara,"11710 Parliament St, San Antonio, TX 78213",San Antonio,Bexar,609239,285,Cameron County Housing Finance Corporation,HFC,1,yes,unknown,26000000.0,598000,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",cross-validated,0
TX-NEW-BEXAR-2,Highland Ridge,"1700 Jackson Keller Rd, San Antonio, TX 78213",San Antonio,Bexar,489629,736,Cameron County Housing Finance Corporation,HFC,1,yes,unknown,42500000.0,977500,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1
TX-NEW-BEXAR-3,Dalian Monterrey Village,"10102 Ingram Rd, San Antonio, TX 78245",San Antonio,Bexar,1207284,360,Cameron County Housing Finance Corporation,HFC,1,yes,exempt_at_2027_risk,51500000.0,1179440,precise (per-account rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1
TX-61-1237,Maxwell Townhomes,"11146 Vance Jackson Rd, San Antonio, TX 78230",San Antonio,Bexar,641263,314,Edcouch Community Housing Finance Corporation,HFC,1,yes,unknown,40500000.0,931500,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,2
TX-61-1653,Tara,"Broadway St, San Antonio, TX 78209",San Antonio,Bexar,1446279,234,Edcouch Community Housing Finance Corporation,HFC,1,yes,unknown,9012040.0,207277,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,2
TX-61-1757,Acadia on the Lake,"4031 Thousand Oaks Dr, San Antonio, TX 78217",San Antonio,Bexar,642630,304,Edcouch Community Housing Finance Corporation,HFC,1,yes,unknown,,,,HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,2
TX-61-250,Elevate at Huebner Grove,"11500 Huebner Rd, San Antonio, TX 78230",San Antonio,Bexar,565843,210,La Villa Housing Finance Corporation,HFC,1,yes,unknown,17000000.0,391000,estimated (2.3% representative rate),HB21 §13(i),2027-01-01,,"Bexar Appraisal District v. [sponsor HFC] -- Chief Appraiser Rogelio Sandoval suit seeking to return ~27 Bexar apartment complexes (~$26M+ in exempted value) to the tax rolls (News4SanAntonio, 'Legal battle over ""traveling housing agencies"" and property taxes', accessed 2026-07-11); sponsor is named in press coverage of this suit. Specific complex-level plaintiff exhibit list not published in free sources -- this property is flagged as a likely/possible member of that 27-complex set, not confirmed by name.",single-source,1
